date,ticker,shares_outstanding,nav,flow_daily,as_of_date
2018-01-29,IWM,275350000.0,158.72,-127768000.0,2018-01-29
2018-01-30,IWM,272950000.0,157.21,-380928000.0,2018-01-30
2018-01-31,IWM,271700000.0,156.43,-196512500.0,2018-01-31
2018-01-02,IWM,275200000.0,152.44,-476656000.0,2017-12-29
2018-01-16,IWM,273550000.0,158.08,47271000.0,2018-01-12
2018-01-03,JNK,362524000.0,36.7982,385161000.0,2018-01-03
2018-01-04,JNK,371024000.0,36.9077,312784700.0,2018-01-04
2018-01-05,JNK,375024000.0,36.9601,147630800.0,2018-01-05
2018-01-08,JNK,372024000.0,36.9548,-110880300.0,2018-01-08
2018-01-09,JNK,368024000.0,36.942,-147819200.0,2018-01-09
2018-01-10,JNK,363024000.0,36.8259,-184710000.0,2018-01-10
2018-01-11,JNK,343524000.0,36.8581,-718105050.0,2018-01-11
2018-01-12,JNK,338524000.0,36.8891,-184290500.0,2018-01-12
2018-01-17,JNK,332524000.0,36.855,-55333950.0,2018-01-17
2018-01-18,JNK,331524000.0,36.8009,-36855000.0,2018-01-18
2018-01-19,JNK,325024000.0,36.7886,-239205850.0,2018-01-19
2018-01-22,JNK,329524000.0,36.8085,165548700.0,2018-01-22
2018-01-23,JNK,332524000.0,36.8647,110425500.0,2018-01-23
2018-01-24,JNK,330524000.0,36.8723,-73729400.0,2018-01-24
2018-01-25,JNK,327024000.0,36.8791,-129053050.0,2018-01-25
2018-01-26,JNK,327024000.0,36.8965,0.0,2018-01-26
2018-01-29,JNK,324024000.0,36.8383,-110689500.0,2018-01-29
2018-01-30,JNK,317024000.0,36.7024,-257868100.0,2018-01-30
2018-01-31,JNK,313524000.0,36.7416,-128458400.0,2018-01-31
2018-01-02,JNK,352024000.0,36.6357,219694800.0,2017-12-29
2018-01-16,JNK,334024000.0,36.8891,-165861450.0,2018-01-12
2018-01-03,SPY,1008082000.0,270.489,-1666392600.0,2018-01-03
2018-01-04,SPY,1005782000.0,271.635,-622124700.0,2018-01-04
2018-01-05,SPY,1000082000.0,273.541,-1548319500.0,2018-01-05
2018-01-08,SPY,1008982000.0,273.999,2434514900.0,2018-01-08
2018-01-09,SPY,1004782000.0,274.439,-1150795800.0,2018-01-09
2018-01-10,SPY,1017982000.0,274.137,3622594800.0,2018-01-10
2018-01-11,SPY,1028482000.0,276.085,2878438500.0,2018-01-11
2018-01-12,SPY,1022732000.0,277.945,-1587488750.0,2018-01-12
2018-01-17,SPY,1045882000.0,279.574,6647304000.0,2018-01-17
2018-01-18,SPY,1041882000.0,279.147,-1118296000.0,2018-01-18
2018-01-19,SPY,1053182000.0,280.375,3154361100.0,2018-01-19
2018-01-22,SPY,1061882000.0,282.638,2439262500.0,2018-01-22
2018-01-23,SPY,1070532000.0,283.262,2444818700.0,2018-01-23
2018-01-24,SPY,1067882000.0,283.103,-750644300.0,2018-01-24
2018-01-25,SPY,1069232000.0,283.273,382189050.0,2018-01-25
2018-01-26,SPY,1058532000.0,286.627,-3031021100.0,2018-01-26
2018-01-29,SPY,1073632000.0,284.718,4328067700.0,2018-01-29
2018-01-30,SPY,1088332000.0,281.638,4185354600.0,2018-01-30
2018-01-31,SPY,1088632000.0,281.78,84491400.0,2018-01-31
2018-01-02,SPY,1014282000.0,266.552,-1044907500.0,2017-12-29
2018-01-16,SPY,1021882000.0,277.945,-234672250.0,2018-01-12
2018-01-03,TLT,57000000.0,126.05,-175644000.0,2018-01-03
2018-01-04,TLT,55600000.0,126.04,-176470000.0,2018-01-04
2018-01-05,TLT,53900000.0,125.51,-214268000.0,2018-01-05
2018-01-08,TLT,54200000.0,125.46,37653000.0,2018-01-08
2018-01-09,TLT,55600000.0,123.86,175644000.0,2018-01-09
2018-01-10,TLT,56000000.0,123.75,49544000.0,2018-01-10
2018-01-11,TLT,56000000.0,124.37,0.0,2018-01-11
2018-01-12,TLT,56400000.0,124.61,49748000.0,2018-01-12
2018-01-17,TLT,55400000.0,124.73,-137544000.0,2018-01-17
2018-01-18,TLT,54800000.0,123.86,-74838000.0,2018-01-18
2018-01-19,TLT,55300000.0,123.33,61930000.0,2018-01-19
2018-01-22,TLT,55300000.0,123.04,0.0,2018-01-22
2018-01-23,TLT,55300000.0,123.57,0.0,2018-01-23
2018-01-24,TLT,55800000.0,122.79,61785000.0,2018-01-24
2018-01-25,TLT,57600000.0,124.04,221022000.0,2018-01-25
2018-01-26,TLT,56200000.0,123.38,-173656000.0,2018-01-26
2018-01-29,TLT,57000000.0,122.75,98704000.0,2018-01-29
2018-01-30,TLT,57400000.0,121.97,49100000.0,2018-01-30
2018-01-31,TLT,54900000.0,122.77,-304925000.0,2018-01-31
2018-01-02,TLT,58400000.0,126.94,291157000.0,2017-12-29
2018-01-16,TLT,56500000.0,124.61,12437000.0,2018-01-12
